   h          x                   df(x)         aproximaci√          Error absoluto en y
  0.10000000000000001        1.0000000000000000        2.7182818284590451        2.7228145639474177        4.5327354883726301E-003
   1.0000000000000000E-002   1.0000000000000000        2.7182818284590451        2.7183271333827141        4.5304923669053920E-005
   1.0000000000000000E-003   1.0000000000000000        2.7182818284590451        2.7182822815057239        4.5304667883883099E-007
   1.0000000000000000E-004   1.0000000000000000        2.7182818284590451        2.7182818329896108        4.5305657003780198E-009
   1.0000000000000001E-005   1.0000000000000000        2.7182818284590451        2.7182818285176320        5.8586913098679361E-011
   9.9999999999999995E-007   1.0000000000000000        2.7182818284590451        2.7182818282955878        1.6345724773714210E-010
   9.9999999999999995E-008   1.0000000000000000        2.7182818284590451        2.7182818285176324        5.8587357187889211E-011
   1.0000000000000000E-008   1.0000000000000000        2.7182818284590451        2.7182818218562943        6.6027507905630500E-009
   1.0000000000000001E-009   1.0000000000000000        2.7182818284590451        2.7182818218562943        6.6027507905630500E-009
   1.0000000000000000E-010   1.0000000000000000        2.7182818284590451        2.7182811557224795        6.7273656556565697E-007
   9.9999999999999994E-012   1.0000000000000000        2.7182818284590451        2.7182922579527258        1.0429493680685908E-005
   9.9999999999999998E-013   1.0000000000000000        2.7182818284590451        2.7184920980971583        2.1026963811321409E-004
   1.0000000000000000E-013   1.0000000000000000        2.7182818284590451        2.7178259642823832        4.5586417666187984E-004
   1.0000000000000000E-014   1.0000000000000000        2.7182818284590451        2.7089441800853820        9.3376483736631322E-003
   1.0000000000000001E-015   1.0000000000000000        2.7182818284590451        2.8865798640254066       0.16829803556636147     
   9.9999999999999998E-017   1.0000000000000000        2.7182818284590451        0.0000000000000000        2.7182818284590451     
   1.0000000000000001E-017   1.0000000000000000        2.7182818284590451        0.0000000000000000        2.7182818284590451     
   1.0000000000000001E-018   1.0000000000000000        2.7182818284590451        0.0000000000000000        2.7182818284590451     
   9.9999999999999998E-020   1.0000000000000000        2.7182818284590451        0.0000000000000000        2.7182818284590451     
   9.9999999999999995E-021   1.0000000000000000        2.7182818284590451        0.0000000000000000        2.7182818284590451     
