          x                         y                              Euler          Error absoluto                    RK2                    Error absoluto                    RK4                    Error absoluto
   0.0000000000000000       0.60046555478393226        1.0000000000000000       0.39953444521606774        1.0000000000000000       0.39953444521606774        1.0000000000000000       0.39953444521606774     
   1.0000000000000000E-002  0.59440165575021864        1.0000000000000000       0.40559834424978136       0.99995000000000001       0.40554834424978137       0.99995000124997913       0.40554834549976049     
   2.0000000000000000E-002  0.58834015702931475       0.99990000000000001       0.41155984297068526       0.99980001499962501       0.41145985797031026       0.99980001999866674       0.41145986296935200     
   2.9999999999999999E-002  0.58228224020181329       0.99970002000000002       0.41741777979818673       0.99955008999087547       0.41726784978906217       0.99955010123481425       0.41726786103300095     
   4.0000000000000001E-002  0.57622907367179987       0.99940010999399997       0.42317103632220010       0.99920029993575843       0.42297122626395856       0.99920031991468372       0.42297124624288385     
   5.0000000000000003E-002  0.57018181233760501       0.99900034995000242       0.42881853761239741       0.99875074972881428       0.42856893739120927       0.99875078092458081       0.42856896858697580     
   5.9999999999999998E-002  0.56414159727268010       0.99850084977502740       0.43435925250234730       0.99820157414469157       0.43405997687201148       0.99820161902843718       0.43406002175575709     
   7.0000000000000007E-002  0.55810955541668261       0.99790174926516240       0.43979219384847978       0.99755293777080445       0.43944338235412184       0.99755299880047954       0.43944344338379693     
   8.0000000000000002E-002  0.55208679927684667       0.99720321804067680       0.44511641876383012       0.99680503492512251       0.44471823564827584       0.99680511454303278       0.44471831526618610     
   8.9999999999999997E-002  0.54607442663970940       0.99640545546624426       0.45033102882653486       0.99595808955914800       0.44988366291943860       0.99595819018951326       0.44988376354980386     
  0.10000000000000001       0.54007352029325273       0.99550869055632463       0.45543517026307190       0.99501235514615005       0.45493883485289732       0.99501247919268199       0.45493895889942926     
  0.11000000000000000       0.53408514775951699       0.99451318186576831       0.46042803410625133       0.99396811455473300       0.45988296679521601       0.99396826439823394       0.45988311663871695     
  0.12000000000000000       0.52811036103772846       0.99341921736571592       0.46530885632798746       0.99282567990782755       0.46471531887009909       0.99282585790381284       0.46471549686608438     
  0.13000000000000000       0.52215019635797977       0.99222711430487709       0.47007691794689732       0.99158539242720267       0.46943519606922290       0.99158560090354986       0.46943540454557009     
  0.14000000000000001       0.51620567394549643       0.99093721905628074       0.47473154511078430       0.99024762226360785       0.47404194831811142       0.99024786351823391       0.47404218957273747     
  0.14999999999999999       0.51027779779550375       0.98954990694960199       0.47927210915409824       0.98881276831266218       0.47853497051715843       0.98881304461123209       0.47853524681572834     
  0.16000000000000000       0.50436755545871892       0.98806558208917761       0.48369802663045869       0.98728125801662070       0.48291370255790178       0.98728157159028940       0.48291401613157048     
  0.17000000000000001       0.49847591783746603       0.98648467715783494       0.48800875932036891       0.98565354715215381       0.48717762931468778       0.98565390019534405       0.48717798235787801     
  0.17999999999999999       0.49260383899242077       0.98480765320666663       0.49220381421424586       0.98393011960428889       0.49132628061186812       0.98393051427250688       0.49132667528008611     
  0.19000000000000000       0.48675225595997168       0.98303499943089467       0.49628274347092299       0.98211148712667007       0.49535923116669839       0.98211192553436200       0.49535966957439032     
  0.20000000000000001       0.48092208858018642       0.98116723293197594       0.50024514435178946       0.98019818908830292       0.49927610050811649       0.98019867330675348       0.49927658472656705     
  0.20999999999999999       0.47511423933535912       0.97920489846611203       0.50409065913075290       0.97819079220695948       0.50307655287160036       0.97819132426223543       0.50307708492687631     
  0.22000000000000000       0.46932959319910966       0.97714856817933315       0.50781897498022355       0.97608989026942794       0.50676029707031822       0.97609047214036826       0.50676087894125854     
  0.23000000000000001       0.46356901749599849       0.97499884132933867       0.51142982383334012       0.97389610383880010       0.51032708634280155       0.97389673745505512       0.51032771995905657     
  0.23999999999999999       0.45783336177161427       0.97275634399428124       0.51492298222266697       0.97161007994899951       0.51377671817738524       0.97161076718912065       0.51377740541750638     
  0.25000000000000000       0.45212345767308287       0.97042172876869492       0.51829827109561211       0.96923249178675952       0.51710903411367659       0.96923323447634213       0.51710977680325931     
  0.26000000000000001       0.44644011883994328       0.96799567444677315       0.52155555560682987       0.96676403836127089       0.52032391952132762       0.96676483827115134       0.52032471943120806     
  0.27000000000000002       0.44078414080532452       0.96547888569321150       0.52469474488788692       0.96420544416172571       0.52342130335640125       0.96420630300623511       0.52342216220091053     
  0.28000000000000003       0.43515630090735685       0.96287209270183982       0.52771579179448302       0.96155745880299237       0.52640115789563557       0.96155837823826851       0.52640207733091171     
  0.28999999999999998       0.42955735821073909       0.96017605084227464       0.53061869263153549       0.95882085665966443       0.52926349844892528       0.95882183828202305       0.52926448007128402     
  0.29999999999999999       0.42398805343838142       0.95739154029483209       0.53340348685645067       0.95599643648873278       0.53200838305035136       0.95599748183310074       0.53200942839471932     
  0.31000000000000000       0.41844910891303538       0.95451936567394757       0.53607025676091213       0.95308502104113912       0.53463591212810369       0.95308613157955024       0.53463702266651492     
  0.32000000000000001       0.41294122850881759       0.95156035564035835       0.53861912713154081       0.95008745666247474       0.53714622815365720       0.95008863380263031       0.53714740529381277     
  0.33000000000000002       0.40746509761252758       0.94851536250230917       0.54105026488978158       0.94700461288309634       0.53953951527056876       0.94700585796699099       0.53954076035446341     
  0.34000000000000002       0.40202138309465485       0.94538526180605154       0.54336387871139669       0.94383738199793565       0.54181599890328080       0.94383869630055051       0.54181731320589566     
  0.35000000000000003       0.39661073328996505       0.94217095191591094       0.54556021862594584       0.94058667863628820       0.54397594534632310       0.94058806336435208       0.54397733007438709     
