          h                         n          Exacta          Aproximación (trapecio)          Error relativo          Aproximación (Simpson)      Error relativo     Aproximación (Gauss Legendre)     Error relativo
  0.50000000000000000                2  0.63212055882855767       0.64523519014917730        2.0747041268399168E-002  0.63233368000366263        3.3715273475667972E-004  0.63212025566406616        4.7959916391996763E-007
  0.10000000000000001               10  0.63212055882855767       0.63264723818729096        8.3319447750494692E-004  0.63212090958901535        5.5489487373919571E-007  0.63212055882854712        1.6685296161676579E-014
   5.0000000000000003E-002          20  0.63212055882855767       0.63225224512481604        2.0832465329463613E-004  0.63212058077065747        3.4711890789371495E-008  0.63212055882855078        1.0889351179199451E-014
   2.5000000000000001E-002          40  0.63212055882855767       0.63215348143138761        5.2082790806480650E-005  0.63212056020024487        2.1699772125819349E-009  0.63212055882855178        9.3086389112511436E-015
   1.2500000000000001E-002          80  0.63212055882855767       0.63212878954356633        1.3020799424582020E-005  0.63212055891429297        1.3563125980434012E-010  0.63212055882854723        1.6509661465237877E-014
   6.2500000000000003E-003         160  0.63212055882855767       0.63212261651132906        3.2552062144727855E-006  0.63212055883391638        8.4773598930067732E-012  0.63212055882853468        3.6356382162811068E-014
   3.1250000000000002E-003         320  0.63212055882855767       0.63212107324950195        8.1380195138687513E-007  0.63212055882889273        5.3006551385199906E-013  0.63212055882855034        1.1591889964954255E-014
   1.5625000000000001E-003         640  0.63212055882855767       0.63212068743380811        2.0345051059141199E-007  0.63212055882857709        3.0736071876772648E-014  0.63212055882852081        5.8310719217648677E-014
   7.8125000000000004E-004        1280  0.63212055882855767       0.63212059097987083        5.0862628526026476E-008  0.63212055882855989        3.5126939287740166E-015  0.63212055882852702        4.8475176217081429E-014
   3.9062500000000002E-004        2560  0.63212055882855767       0.63212056686638651        1.2715658009680102E-008  0.63212055882855633        2.1076163572644098E-015  0.63212055882852114        5.7783815128332569E-014
